1996 World Champion,CC,Il faut beaucoup de sacrifice pour arriver au sommet.,, 
Rummaging Goblin,M15,"Pour un gobelin, la valeur est basée sur quatre principes : ce qui brille, ce qui coupe, ce qui pue, ce qui pue encore plus.",,
Rummaging Wizard,ON,"« J'ai ce qu'il vous faut, mais laissez-moi le temps de le retrouver. »",,
Run Wild,ON,"Les bêtes de Brinbois semblèrent ne pas s'inquiéter de l'arrivée des elfes. En fait, elles ne les sentirent même pas craquer sous leurs sabots.",,
Runaway Carriage,SOI,"« Ils étaient indemnes quand ils sont partis. En revanche, je ne peux pas dire dans quel état ils sont arrivés. »
—Rupirk, porteur à la taverne de l'Ancre rouillée",,
Rune Snag,CS,"« L'important, c'est la concentration. Sans elle, un mage ne peut invoquer qu'une terrible migraine. »
—Zur l'enchanteur",,
Rune-Cervin Rider,SHM,"La beauté est en péril constant. Les chevaucheurs l'emportent pour la mettre en sécurité, devançant les ténèbres.",,
Rune-Scarred Demon,M12,La litanie de l'infernal qui orne sa chair scintille selon les pulsations de son cœur noir.,,
Runeboggle,GP,"« Vous avez déjà essayé de compter des écoliers hyperactifs pendant que quelqu'un vous crie des nombres au hasard dans l'oreille ? C'est un peu pareil. »
—Geetra, mage frustrée",,
Runechanter's Pike,ISD,Aussi aiguisé que les paroles de foi de son porteur.,,
Runeclaw Bear,DPA,Les ours ne sont pas toujours aussi forts et dangereux qu'on l'imagine. Certains le sont encore plus.,,
Runeclaw Bear,M10,Les ours ne sont pas toujours aussi forts et dangereux qu'on l'imagine. Certains le sont encore plus.,,
Runeclaw Bear,M11,"« La nature s'est lassée des impositions des hommes et elle va commencer à équiper ses créations d'outils pour leur éducation. »
—Hadi Kasten, naturaliste du Vallon de Calla",,
Runeclaw Bear,M12,Le seul miel qui l'intéresse est le nectar sucré qui coule dans vos veines.,,
Runeclaw Bear,M15,La magie des elfes laisse sa marque sur la forêt. La magie de la forêt laisse sa marque sur les animaux qui y vivent. Les animaux de la forêt laissent leur marque sur tous les intrus.,,
Runed Servitor,CNS,Les érudits s'étaient interrogés durant des siècles sur les ruines de Tal Terig. Ses secrets avaient toujours été cachés dans une tête gravée de runes.,,
Runed Servitor,DDF,Les érudits s'étaient interrogés durant des siècles sur les ruines de Tal Terig. Ses secrets avaient toujours été cachés dans une tête gravée de runes.,,
Runed Servitor,DDP,Les érudits s'étaient interrogés durant des siècles sur les ruines de Tal Terig. Ses secrets avaient toujours été cachés dans une tête gravée de runes.,,
Runed Servitor,EVT,Les érudits s'étaient interrogés durant des siècles sur les ruines de Tal Terig. Ses secrets avaient toujours été cachés dans une tête gravée de runes.,,
Runed Servitor,MM2,Les érudits s'étaient interrogés durant des siècles sur les ruines de Tal Terig. Ses secrets avaient toujours été cachés dans une tête gravée de runes.,,
Runed Servitor,ORI,Les érudits s'étaient interrogés durant des siècles sur les ruines de Tal Terig. Ses secrets avaient toujours été cachés dans une tête gravée de runes.,,
Runed Servitor,ROE,Les érudits s'étaient interrogés durant des siècles sur les ruines de Tal Terig. Ses secrets avaient toujours été cachés dans une tête gravée de runes.,,
Runed Servitor,ZVE,Les érudits s'étaient interrogés durant des siècles sur les ruines de Tal Terig. Ses secrets avaient toujours été cachés dans une tête gravée de runes.,,
Runed Stalactite,LRW,"Quand un changelin adopte une forme inconnue des autres, une rune apparaît dans les cavernes de Velis Vel pour marquer l'événement.",,
Runed Stalactite,MMA,"Quand un changelin adopte une forme inconnue des autres, une rune apparaît dans les cavernes de Velis Vel pour marquer l'événement.",,
Runewing,RTR,"Quand on a l'esprit ouvert, la sagesse s'écrit toute seule avec une plume d'ailerune.",,
Runic Repetition,ISD,"« Ce que certains considèrent une obsession, moi je le considère comme une quête de la perfection. »",,
Rupture,NE,Libérez le feu qui est en vous.,,
Rush of Adrenaline,SOI,Les épouvantails ne peuvent pas empêcher tout le monde de passer.,,
Rush of Battle,KTK,"La charge marduenne évoque la célérité du dragon, et sa voracité.",,
Rush of Blood,AVR,"Parfois, il ne s'agit pas de se nourrir ou d'assouvir sa dépendance. Parfois, c'est une simple affaire de regain de sensations.",,
Rush of Knowledge,C14,"« Le pouvoir illimité n'est jouissif que si vous n'en saisissez pas toutes les implications. »
—Ixidor, sculpteur de réalité",,
Rush of Knowledge,SC,"« Le pouvoir illimité n'est jouissif que si vous n'en saisissez pas toutes les implications. »
—Ixidor, sculpteur de réalité",,
Rushing-Tide Zubera,SOK,"Coupés du kakuriyo par la destruction de leur honden, les zubera cherchaient de nouveaux moyens d'emporter leurs secrets.",,
Rushwood Dryad,10E,"Pour les dryades, tout arbre de la forêt est à la fois une porte et une fenêtre.",,
Rushwood Dryad,8E,"Pour les dryades, tout arbre de la forêt est à la fois une porte et une fenêtre.",,
Rushwood Dryad,MM,La forêt de Paillebois est un vivant joyau brillant de mille feux qui sont les cœurs de ses habitants.,,
Rushwood Herbalist,MM,"Quand les généraux préparent leurs armées, les guérisseurs préparent leurs herbes.",,
Russet Wolves,DKA,"« Les loups de notre vallée sont dressés pour détester l'odeur des goules. Depuis des siècles, ils débarrassent nos propriétés de cette charogne. »
—Olivia Voldaren",,
Rust,LG,"« Qu'il est morne de faire une pause, faire une fin, / de rouiller sans avoir brillé dans son utilisation, / Comme si respirer était la vie. »
—Alfred Lord Tennyson, Ulysses",,
Rust Scarab,GTC,"« Contemplez la réponse de la nature au problème posé par la civilisation. »
—Nikya des Traditions",,
Rusted Relic,MM2,"« Nous considérons que la rouille est une maladie curable. »
—Tarrin, shamane de la tribu du Marteau",,
Rusted Relic,SOM,"« Nous considérons que la rouille est une maladie curable. »
—Tarrin, shamane de la tribu du Marteau",,
Rusted Sentinel,M12,Il lui faut un instant de délibération pour déterminer le meilleur moyen de vous casser la figure.,,
Rusted Slasher,MBS,"« Quelle vision magnifique ! Des déchets qui reviennent à la vie sous la forme d'une entité unique. »
—Urabrask le Secret",,
Rustmouth Ogre,MR,Il a un estomac de fer et ce n'est pas une image.,,
Rustrazor Butcher,SHM,La lame des Sanguinaires est salée au sang et poivrée à la rouille pour un massacre bien assaisonné.,,
Rustspore Ram,MR,"Là où les troupeaux passent, le sol abîmé est couvert de rouille.",,
Ruthless Cullblade,WWK,Elle brandit une lame aussi élégante et avide de sang qu'elle.,,
Ruthless Deathfang,DTK,"« Approchez les morts, leurs carcasses et leurs ossements. Nous dégusterons leurs spectres gémissants. »
—Silumgar, traduit du draconique",,
Ruthless Instincts,FRF,Une seule bataille peut en affecter bien d'autres.,,
Ruthless Invasion,NPH,"« Pour la survie de notre peuple, tous les conflits doivent se finir en battant la retraite. »
—Pythor, résistance mirrane",,
Saber Ants,MM,Elles ne quittent le champ de bataille qu'après avoir dévoré les vaincus.,,
Saberclaw Golem,SOM,Vingt guerriers de la tribu du Coutel chargèrent le golem. Il n'en revint que dix...et demi.,,
Sabertooth Alley Cat,RAV,Il doit nourrir ses huit autres vies.,,
Sabertooth Nishoba,IN,"Ils se rient des dangers des pics et des côtes, et cherchent sans cesse de nouveaux adversaires.",,
Sabertooth Wyvern,EX,"« J'ai griffe et dent, et mets en pièces qui m'attaque. »
—La Fontaine, Fables.",,
Sabertooth Wyvern,TPR,"« J'ai griffe et dent, et mets en pièces qui m'attaque. »
—La Fontaine, Fables.",,
Sabretooth Tiger,5E,"« Je crains tout ce qui a des dents qui peuvent être mesurées en paumes! »
—Norinn le Circonspect.",,
Sabretooth Tiger,6E,"« Je crains tout ce qui a des dents qui peuvent être mesurées en paumes! »
—Norînn le Circonspect.",,
Sabretooth Tiger,7E,"« Minou, minou. Minou, minou ?arrrrgh »",,
Sabretooth Tiger,8E,"S'il est chat, nous sommes souris.",,
Sabretooth Tiger,IA,"« Ma fille, c'est à ton tour de chasser le grand tigre, et de faire une couverture de sa fourrure. »
—Lovisa Froid Regard, cheffesse balduviane.",,
Sacellum Archers,CFX,"« Nos flèches ne visent pas les béhémoths sacrés, mais ceux qui rêvent d'en faire leurs trophées. »",,
Sacellum Godspeaker,ALA,"Sa connexion avec les gargantuesques la destine à devenir Anima, un devoir sacré, mais difficile.",,
"Sachi, Daughter of Seshiro",CHK,"« Les guerriers savent tout des poisons et des crocs. Nous, les shamanes, nous savons pourquoi nos ancêtres rampaient sur le sol. »",,
Sacred Armory,M15,On y vient pour la prière. On en sort pour faire la guerre.,,
Sacred Boon,5E,"« Les faveurs divines sont accordés à ceux qui en sont dignes. »
—Halvor Arenson, prêtre kjeldorien.",,
Sacred Boon,IA,"« Les faveurs divines ne sont accordées qu'a ceux qui en sont dignes. »
—Halvor Arenson, prêtre kjeldorien",,
Sacred Boon,ME2,"« Les faveurs divines ne sont accordées qu'a ceux qui en sont dignes. »
—Halvor Arenson, prêtre kjeldorien",,
Sacred Foundry,GTC,"Ferveur ardente et talent redoutable sont à l'origine d'une beauté fatale, qu'il est terrifiant de contempler.",,
Sacred Foundry,ZEXP,"Ferveur ardente et talent redoutable sont à l'origine d'une beauté fatale, qu'il est terrifiant de contempler.",,
Sacred Ground,7E,La terre ne trahira jamais ceux qui ont donné leur vie pour elle.,,
Sacred Ground,8E,La terre ne trahira jamais ceux qui ont donné leur vie pour elle.,,
Sacred Ground,9E,"Le chevalier s'agenouilla. Il pria d'abord pour l'inviolabilité de sa terre et ensuite, pour avoir la force nécessaire de repousser les envahisseurs.",,
Sacred Ground,SH,"« Ce connaitre soi-même évite d'être modelé par la volonté d'un autre. »
—Oracle en-vek",,
Sacred Knight,PT,"« Aucune flamme, aucune horreur ne peut me détourner de ma cause. »",,
Sacred Mesa,ANT,"« Ne vas pas là-bas, n'y vas pas / à moins que tu ne voles avec des ailes, à moins que tu ne marches sur des sabots. »
—« Chanson pour le Soleil », chanson fémeiref",,
Sacred Mesa,AT,"« Ne vas pas là-bas, n'y vas pas / à moins que tu ne voles avec des ailes, à moins que tu ne marches sur des sabots. »
—« Chanson pour le Soleil », chanson fémeiref",,
Sacred Mesa,MI,"« Ne vas pas là-bas, n'y vas pas / à moins que tu ne voles avec des ailes, à moins que tu ne marches sur des sabots. »
—« Chanson pour le Soleil », chanson fémeiref.",,
Sacred Mesa,TSB,"« Ne vas pas là-bas, n'y vas pas / à moins que tu ne voles avec des ailes, à moins que tu ne marches sur des sabots. »
—« Chanson pour le Soleil », chanson fémeiref",,
Sacred Nectar,7E,"« Pourtant, sous la tutelle invisible d'un Ange,
L'Enfant déshérité s'enivre de soleil et dans tout ce qu'il boit et dans tout ce qu'il mange retrouve l'ambroisie et le nectar vermeil. »
—Baudelaire,
Les Fleurs du Mal.",,
Sacred Nectar,8E,"On accepte une coupe de poison de celui qui vous a offert cent coupes de nectar.
—Proverbe indien",,
Sacred Nectar,9E,"On accepte une coupe de poison de celui qui vous a offert cent coupes de nectar.
—Proverbe indien",,
Sacred Nectar,PT,"On accepte une coupe de poison de celui qui vous a offert cent coupes de nectar.
—Proverbe indien",,
Sacred Nectar,ST,"On accepte une coupe de poison de celui qui vous a offert cent coupes de nectar.
—Proverbe indien",,
Sacred Prey,MM,Les Cho-Arrims y voient un bon présage.,,
Sacred Wolf,M11,"« J'ai pointé mon arc et le loup m'a fixé. Soudain, mon doigt a refusé de lâcher la corde. »
—Aref, le chasseur",,
Sacred Wolf,M12,"« J'ai pointé mon arc et le loup m'a fixé. Soudain, mon doigt a refusé de lâcher la corde. »
—Aref, le chasseur",,
Saddleback Lagac,OGW,"« Un bon lagac vous portera envers et contre tout. Un mauvais...il fera un bon dîner. »
—Raff Gobelimace, accourcisseur gobelin",,
Sadistic Augermage,DDM,« Ne vous en faites pas. Je sais percer les secrets. »,,
Sadistic Augermage,JVV,« Ne vous en faites pas. Je sais percer les secrets. »,,
Sadistic Augermage,RAV,« Ne vous en faites pas. Je sais percer les secrets. »,,
Sadistic Glee,BR,"Que m'importe le premier sang ! Mieux vaut verser le dernier.
—Gerrard, de l'Aquilon.",,
Sadistic Glee,BRB,"Que m'importe le premier sang ! Mieux vaut verser le dernier.
—Gerrard, de l'Aquilon.",,
Sadistic Glee,TE,"Que m'importe le premier sang ! Mieux vaut verser le dernier.
—Gerrard, de l'Aquilon.",,
Sadistic Hypnotist,DDJ,"« Dans les rahbas, la victoire s'obtient souvent par la mort de l'adversaire. Le vrai plaisir est avant la victoire. »",,
Sadistic Hypnotist,IVG,"« Dans les rahbas, la victoire s'obtient souvent par la mort de l'adversaire. Le vrai plaisir est avant la victoire. »",,
Sadistic Hypnotist,OD,"« Dans les rahbas, la victoire s'obtient souvent par la mort de l'adversaire. Le vrai plaisir est avant la victoire. »",,
Safe Passage,DDI,"D'un battement d'ailes, l'ange fit reculer les feux de la guerre.",,
Safe Passage,M10,"D'un battement d'ailes, l'ange fit reculer les feux de la guerre.",,
Safe Passage,M11,"D'un battement d'ailes, l'ange fit reculer les feux de la guerre.",,
Safe Passage,M13,"Berger des fidèles, l'ange diffuse une radiance qui fait office de bouclier salvateur.",,
Safe Passage,VVK,"D'un battement d'ailes, l'ange fit reculer les feux de la guerre.",,
Safeguard,TE,"Les efforts faits en vain m'amusent tant qu'il ne s'agit pas des miens.
—Hanna, navigatrice de l'Aquilon.",,
Safehold Elite,SHM,« Je refuse de mourir — du moins pas des mains d'êtres de votre sorte. »,,
Safehold Sentry,SHM,"« Ces brassards ont été portés par mon père, et par sa mère avant lui. Les boggarts s'y sont brisés les crocs. Les scoriacés sont tombés en cendres à leur contact. Tant que je les porte, la ferté est en sécurité. »",,
Safewright Quest,SHM,"Les elfes recherchent des sources de beauté dans un monde enveloppé par la nuit. Pendant ce temps, le monde enveloppé par la nuit recherche le sang des elfes.",,
Saffi Eriksdotter,TSP,"En un clin d'œil, elle passa des neiges profondes au désert de poussière. Une voix déformée lui parvint de la déchirure de lumière derrière elle : « Saffi, attends-moi... »",,
Sage Aven,ON,"Depuis leurs aérains des montagnes, les érudits avemains voient bien au-delà de l'horizon.",,
Sage of Epityr,TSP,"Les mediums de Dominaria étaient rendus fous par les images issues des failles temporelles de plus en plus nombreuses, tandis que d'autres recevaient le don de voir l'avenir.",,
Sage of Fables,MOR,« Il n'existe aucun secret qui ne puisse être vendu. »,,
Sage of Lat-Nam,8E,Dans chaque instrument réside une étincelle de l'âme de son créateur. Dans chaque sage est une lampe qui attend cette étincelle.,,
Sage of the Inward Eye,INP,« Aucun pétale ne peut s'approprier la beauté du lotus. »,,
Sage of the Inward Eye,KTK,« Aucun pétale ne peut s'approprier la beauté du lotus. »,,
Sage of the Inward Eye,MBP,« Aucun pétale ne peut s'approprier la beauté du lotus. »,,
Sage of the Inward Eye,MIN,« Aucun pétale ne peut s'approprier la beauté du lotus. »,,
Sage of the Inward Eye,PRE,« Aucun pétale ne peut s'approprier la beauté du lotus. »,,
Sage Owl,6E,"Le hibou demande où, mais n'y réponds jamais.",,
Sage Owl,M10,Certaines chouettes abritent les âmes d'archimage du temps jadis.,,
Sage Owl,WL,"Le hibou demande où, mais n'y réponds jamais.",,
Sage-Eye Harrier,KTK,"Ces guerriers ailés méditent en vol, traçant des mandalas dans les nuages.",,
Sage's Dousing,MOR,"« Maudits suires Depuis mon arrivée près du fleuve, je ne peux même pas éternuer sans me faire asperger. »
—Cendreline la pèlerine",,
Sage's Knowledge,P3,"« Ceux qui savent ne parlent pas. Ceux qui parlent ne savent pas. »
—Lao Tzu, Tao Te Ching",,
Sage's Row Denizen,GTC,"« Je vous propose une sagesse exempte de loyauté factice, un apprentissage libre de toute menée des guildes. »",,
Sages of the Anima,ARB,Les pistedieux découvrirent de nouveaux panthéons de divinités animales au-delà des frontières de Naya.,,
Sagu Archer,KTK,Ses flèches sifflent comme un serpent.,,
Sagu Mauler,KTK,"L'épais sous-bois de la jungle de Sagu peut dissimuler jusqu'aux prédateurs les plus imposants, s'ils souhaitent rester à couvert.",,
Sai of the Shinobi,PC2,Le don du sai présage la fin de l'ancien clan et l'ascension du nouveau.,,
Sailmonger,MM,"SI vous ne la payez pas,
elle met les voiles.",,
Sakura-Tribe Elder,ARC,"Il n'y avait pas de pierres tombales sur les territoires des orochi. Les guerriers étaient enterrés avec un jeune arbre, pour entrer en communion avec la forêt après leur mort.",,
Sakura-Tribe Elder,C13,"Les guerriers étaient enterrés avec un jeune arbre, pour entrer en communion avec la forêt après leur mort.",,
Sakura-Tribe Elder,C15,"Il n'y avait pas de pierres tombales sur les territoires des orochi. Les guerriers étaient enterrés avec un jeune arbre, pour entrer en communion avec la forêt après leur mort.",,
Sakura-Tribe Elder,CHK,"Il n'y avait pas de pierres tombales sur les territoires des orochi. Les guerriers étaient enterrés avec un jeune arbre, pour entrer en communion avec la forêt après leur mort.",,
Sakura-Tribe Elder,CMD,"Les guerriers étaient enterrés avec un jeune arbre, pour entrer en communion avec la forêt après leur mort.",,
Sakura-Tribe Elder,CNS,"Il n'y avait pas de pierres tombales sur les territoires des orochi. Les guerriers étaient enterrés avec un jeune arbre, pour entrer en communion avec la forêt après leur mort.",,
Sakura-Tribe Elder,FNM,"Il n'y avait pas de pierres tombales sur les territoires des orochi. Les guerriers étaient enterrés avec un jeune arbre, pour entrer en communion avec la forêt après leur mort.",,
Sakura-Tribe Elder,JUN,"Il n'y avait pas de pierres tombales sur les territoires des orochi. Les guerriers étaient enterrés avec un jeune arbre, pour entrer en communion avec la forêt après leur mort.",,
Sakura-Tribe Elder,JUN,"Il n'y avait pas de pierres tombales sur les territoires des orochi. Les guerriers étaient enterrés avec un jeune arbre, pour entrer en communion avec la forêt après leur mort.",1,
Sakura-Tribe Elder,JUN,"Il n'y avait pas de pierres tombales sur les territoires des orochi. Les guerriers étaient enterrés avec un jeune arbre, pour entrer en communion avec la forêt après leur mort.",2,
Sakura-Tribe Elder,SS,"Il n'y avait pas de pierres tombales sur les territoires des orochi. Les guerriers étaient enterrés avec un jeune arbre, pour entrer en communion avec la forêt après leur mort.",3,
Sakura-Tribe Elder,SS,"Il n'y avait pas de pierres tombales sur les territoires des orochi. Les guerriers étaient enterrés avec un jeune arbre, pour entrer en communion avec la forêt après leur mort.",1,
Sakura-Tribe Elder,SS,"Il n'y avait pas de pierres tombales sur les territoires des orochi. Les guerriers étaient enterrés avec un jeune arbre, pour entrer en communion avec la forêt après leur mort.",2,
Sakura-Tribe Scout,SOK,« Les éclaireurs de la tribu Sakura passèrent deux années à explorer la forêt pour en connaître la moindre branche et la moindre feuille. Cette connaissance s'avéra vitale pendant la Guerre des kami pour assurer la survie des orochi. »L'histoire de Kamigawa,3,
Salt Marsh,8E,"Seule la mort prolifère dans l'eau stagnante
—Dicton d'Urborg",,
Salt Marsh,IN,"Seule la mort peut naître d'une eau stagnante.
—Dicton d'Urborg.",,
Salt Road Patrol,KTK,"« Les soldats gagnent les batailles, mais les vivres permettent de gagner les guerres. »
—Kadri, maître de caravane abzan",,
Saltblast,DDF,Dominaria s'érode à chaque rafale.,,
Saltblast,EVT,Dominaria s'érode à chaque rafale.,,
Saltblast,PLC,Dominaria s'érode à chaque rafale.,,
Saltfield Recluse,MMA,"Il se souvient de son passé de lumière et de guérison. Mais il vit dans l'amertume du présent —le sel brûlant, le vent corrosif et la chaleur flétrissante du désert.",,
Saltfield Recluse,PLC,"Il se souvient de son passé de lumière et de guérison. Mais il vit dans l'amertume du présent — le sel brûlant, le vent corrosif et la chaleur flétrissante du désert.",,
Salvage,P2,"« Ce qui a été pris sera reconstitué. »
—Arathel, Reine des elfes",,
Salvage Scout,SOM,"« Je n'ai pas dit que c'était un travail dangereux. Tout ce que je dis, c'est qu'il ne faut peut-être pas faire de plans pour votre soixante-dixième anniversaire si vous prenez ce boulot. »",,
Salvage Slasher,CFX,"Les artificiers d'Esper n'avaient jamais imaginé qu'un jour, un de leurs rebuts tenterait de trancher leurs gorges fragiles.",,
Samite Alchemist,HL,"« Les plus sages des ayséniens ne résident pas á l'abbaye, mais dans les laboratoires. »
—Taysir",,
Samite Alchemist,HL,"« Les plus sages des ayséniens ne résident pas á l'abbaye, mais dans les laboratoires. »
—Taysir",1,
Samite Alchemist,HL,"« Les plus sages des ayséniens ne résident pas á l'abbaye, mais dans les laboratoires. »
—Taysir",2,
Samite Archer,IN,« Je peux sauver dix vies en en prenant une. »,3,
Samite Blessing,SH,"Ressoude l'os, reprise la chair, Recouds la peau, tisse un nouvel air.
—Rite des guérisseurs sanctifs.",,
Samite Censer-Bearer,FUT,Les alchimistes sanctifs extrayaient des traces aromatiques de minéraux guérisseurs des dunes de sel qui s'effaçaient peu à peu du paysage.,,
Samite Healer,10E,Les guérisseurs finissent par acquérir les dons divins de plénitude physique et spirituelle. Les plus fervents acquièrent la capacité de passer cette plénitude à autrui.,,
Samite Healer,4E,Les guérisseurs accèdent par leurs divines prières à l'état ultime de l'intégrité spirituelle et physique. Les plus dévots d'entre eux reçoivent le don de faire passer ce courant divin à travers le corps d'autrui.,,
Samite Healer,5E,Les guérisseurs accèdent par leurs divines prières à l'état ultime de l'intégrité spirituelle et physique. Les plus dévots d'entre eux reçoivent le don de faire passer ce courant divin à travers le corps d'autrui.,,
Samite Healer,6E,Les guérisseurs accèdent par leurs prières à l'état ultime de l'intégrité spirituelle et physique. Les plus dévots d'entre eux reçoivent le don de faire passer ce courant divin à travers le corps d'autrui.,,
Samite Healer,7E,"« Je nourris dans son cœur la semence féconde des vertus dont il doit sanctifier le monde. »
—Racine, Esther.",,
Samite Healer,8E,Les guérisseurs finissent par acquérir les dons divins de plénitude physique et spirituelle. Les plus fervents se voient donner la capacité de passer cette plénitude à autrui.,,
Samite Healer,9E,Les guérisseurs finissent par acquérir les dons divins de plénitude physique et spirituelle. Les plus fervents se voient donner la capacité de passer cette plénitude à autrui.,,
Samite Healer,A,Les guérisseurs finissent par acquérir les dons divins de plénitude physique et spirituelle. Les plus fervents se voient donner la capacité de passer cette plénitude à autrui.,,
Samite Healer,ANT,Les guérisseurs finissent par acquérir les dons divins de plénitude physique et spirituelle. Les plus fervents se voient donner la capacité de passer cette plénitude à autrui.,,
Samite Healer,AT,Les guérisseurs finissent par acquérir les dons divins de plénitude physique et spirituelle. Les plus fervents acquièrent la capacité de passer cette plénitude à autrui.,,
Samite Healer,B,Les guérisseurs finissent par acquérir les dons divins de plénitude physique et spirituelle. Les plus fervents se voient donner la capacité de passer cette plénitude à autrui.,,
Samite Healer,R,Les guérisseurs accèdent par leurs divines prières à l'état ultime de l'intégrité spirituelle et physique. Les plus dévots d'entre eux reçoivent le don de faire passer ce courant divin à travers le corps d'autrui.,,
Samite Healer,S2,Les guérisseurs finissent par acquérir les dons divins de plénitude physique et spirituelle. Les plus fervents se voient donner la capacité de passer cette plénitude à autrui.,,
Samite Healer,U,Les guérisseurs finissent par acquérir les dons divins de plénitude physique et spirituelle. Les plus fervents se voient donner la capacité de passer cette plénitude à autrui.,,
Samite Sanctuary,PY,"Notre guerre est contre la souffrance, pas contre ceux qui la causent.
—Credo sanctif",,
Samurai Enforcers,CHK,"Une fois qu'ils avaient prêté serment, ils appartenaient à leur seigneur, corps et âme.",,
Sanctified Charge,M15,"Pour recevoir cette bénédiction, il suffit de lever sa lance.",,
Sanctimony,7E,"« Certains prient, d'autres travaillent. Tel est l'ordre de la nature. »",,
Sanctimony,8E,"« Certains prient, d'autres travaillent. Tel est l'ordre de la nature. »",,
Sanctimony,UD,« Pardonnons à nos ennemis comme nous pardonnons à nous-mêmes. »,,
Sanctuary Cat,DKA,Les chats arpentent les corridors des églises d'Avacyn à la recherche de diables ou de signes de leurs activités néfastes.,,
Sanctum Custodian,BR,Serra leur demanda de veiller Urza jusqu'à sa guérison. Ils restèrent cinq ns sans bouger.,,
Sanctum Custodian,BRB,Serra leur demanda de veiller Urza jusqu'à sa guérison. Ils restèrent cinq ns sans bouger.,,
Sanctum Custodian,US,Serra leur demanda de veiller Urza jusqu'à sa guérison. Ils restèrent cinq ns sans bouger.,,
Sanctum Gargoyle,ALA,"Leurs réserves d'étherium disparaissant rapidement, les mécanistes envoyèrent les gargouilles toujours plus loin pour en récupérer.",,
Sanctum Gargoyle,ARC,"Leurs réserves d'étherium disparaissant rapidement, les mécanistes envoyèrent les gargouilles toujours plus loin pour en récupérer.",,
Sanctum Gargoyle,MMA,"Leurs réserves d'étherium disparaissant rapidement, les mécanistes envoyèrent les gargouilles toujours plus loin pour en récupérer.",,
Sanctum Guardian,BR,Nous protégeons notre mère en son propre sein.,,
Sanctum Guardian,BRB,Nous protégeons notre mère en son propre sein.,,
Sanctum Guardian,US,Nous protégeons notre mère en son propre sein.,,
Sandbar Crocodile,MI,"« Nous avions déjà couru à travers les bancs de sable , mais cette fois-ci, le banc de sable courait vers nous. »
—Kipkemboi, pirate de la Koukemssa.",,
Sandbar Merfolk,US,Ce n'est que quand un prédateur prend conscience de votre existence que vous devenez une proie.,,
Sandbar Serpent,US,Les courants traîtres et imprévisibles qui entouraient Tolaria furent surnommés « sillages serpentines ».,,
Sandblast,FRF,"Dans les Landes changeantes, le sable fait plus de victimes que l'acier.",,
Sandcrafter Mage,DTK,"Sous l'effet de la chaleur, le sable peut former une œuvre d'art délicate ; sous la pression, un rempart impénétrable.",,
Sands of Delirium,M13,Il décompte vos derniers instants de sanité.,,
Sands of Time,VI,"« Une fois, avec l'aide d'un magicien, Temps fut arrêté et Jour resta immobile. »
—« Nuit et Jour, la chanson de leur amour ».",,
Sandskin,ON,« Ceux qui vivent par l'épée périront par l'épée. Je ne choisis ni l'un ni l'autre. »,,
Sandsower,MMA,"Il dérive dans les rues tel une brise de soupirs collectifs, laissant dans son sillage paupières lourdes et rêves agités.",,
Sandsower,RAV,"Il dérive dans les rues tel une brise de soupirs collectifs, laissant dans son sillage paupières lourdes et rêves agités.",,
Sandsteppe Citadel,KTK,Ce qui perdure survit.,,
Sandsteppe Citadel,MBP,Ce qui perdure survit.,,
Sandsteppe Citadel,MIN,Ce qui perdure survit.,,
Sandsteppe Mastodon,FRF,La piste d'un mastodonte conduit toujours à une oasis.,,
Sandsteppe Mastodon,GLP,La piste d'un mastodonte conduit toujours à une oasis.,,
Sandsteppe Mastodon,PRE,La piste d'un mastodonte conduit toujours à une oasis.,,
Sandsteppe Mastodon,REL,La piste d'un mastodonte conduit toujours à une oasis.,,
Sandsteppe Scavenger,DTK,« Il est navrant de voir ce que les Silumgar considèrent comme un dragon. »,,
Sandstone Deadfall,OD,"« Deux ou trois tonnes de rochers peuvent vous mettre à terre, puis vous y maintenir. »
—Kamahl, sangrahbaire.",,
Sandstone Warrior,TE,"J'avais l'habitude de décrire quelque chose de stable comme « ancré tel le roc ». Il va falloir que je change mon vocabulaire.
—Gerrard, de l'Aquilon.",,
Sandstone Warrior,TPR,"J'avais l'habitude de décrire quelque chose de stable comme « ancré tel le roc ». Il va falloir que je change mon vocabulaire.
—Gerrard, de l'Aquilon.",,
Sandstorm,4E,"Le paysage même se rebellait contre Sarsour, le soulevant, le couvrant de poussière, puis se réarrangeant de telle manière qu'il ne pouvait plus retrouver son chemin.",,
Sandstorm,AN,"Le paysage même se rebellait contre Sarsour, le soulevant, le couvrant de poussière, puis se réarrangeant de telle manière qu'il ne pouvait plus retrouver son chemin.",,
Sandstorm,BR,"Le paysage même se rebellait contre Sarsour, le soulevant, le couvrant de poussière, puis se réarrangeant de telle manière qu'il ne pouvait plus retrouver son chemin.",,
Sandstorm,BRB,"Le paysage même se rebellait contre Sarsour, le soulevant, le couvrant de poussière, puis se réarrangeant de telle manière qu'il ne pouvait plus retrouver son chemin.",,
Sandstorm,ME4,"Le paysage même se rebellait contre Sarsour, le soulevant, le couvrant de poussière, puis se réarrangeant de telle manière qu'il ne pouvait plus retrouver son chemin.",,
Sandstorm,MI,"Mieux vaut combattre le sable quelques heures que de dormir éternellement dessous.
—Truisme souk'ata.",,
Sandstorm Charger,DTK,"« Puissent nos ennemis agoniser sur ses cornes ! »
—Urdnan, guerrier de Dromoka",,
